status,method,next_path,openapi_path,file
present,PUT,/api/admin/team-leaders,/api/admin/team-leaders,D:\voltium\web\src\app\api\admin\team-leaders\route.ts
present,DELETE,/api/admin/team-leaders,/api/admin/team-leaders,D:\voltium\web\src\app\api\admin\team-leaders\route.ts
present,GET,/api/admin/team-leaders/[id]/riders,/api/admin/team-leaders/{id}/riders,D:\voltium\web\src\app\api\admin\team-leaders\[id]\riders\route.ts
present,POST,/api/admin/tickets/bulk,/api/admin/tickets/bulk,D:\voltium\web\src\app\api\admin\tickets\bulk\route.ts
present,GET,/api/admin/tickets,/api/admin/tickets,D:\voltium\web\src\app\api\admin\tickets\route.ts
present,POST,/api/admin/tickets,/api/admin/tickets,D:\voltium\web\src\app\api\admin\tickets\route.ts
present,PUT,/api/admin/tickets,/api/admin/tickets,D:\voltium\web\src\app\api\admin\tickets\route.ts
present,POST,/api/admin/tickets/[id]/messages,/api/admin/tickets/{id}/messages,D:\voltium\web\src\app\api\admin\tickets\[id]\messages\route.ts
present,GET,/api/admin/tickets/[id],/api/admin/tickets/{id},D:\voltium\web\src\app\api\admin\tickets\[id]\route.ts
present,GET,/api/admin/transactions/bulk,/api/admin/transactions/bulk,D:\voltium\web\src\app\api\admin\transactions\bulk\route.ts
present,POST,/api/admin/transactions/bulk,/api/admin/transactions/bulk,D:\voltium\web\src\app\api\admin\transactions\bulk\route.ts
present,GET,/api/admin/transactions,/api/admin/transactions,D:\voltium\web\src\app\api\admin\transactions\route.ts
present,POST,/api/admin/transactions,/api/admin/transactions,D:\voltium\web\src\app\api\admin\transactions\route.ts
present,PUT,/api/admin/transactions,/api/admin/transactions,D:\voltium\web\src\app\api\admin\transactions\route.ts
present,POST,/api/admin/vehicles/bulk,/api/admin/vehicles/bulk,D:\voltium\web\src\app\api\admin\vehicles\bulk\route.ts
present,GET,/api/admin/vehicles,/api/admin/vehicles,D:\voltium\web\src\app\api\admin\vehicles\route.ts
present,POST,/api/admin/vehicles,/api/admin/vehicles,D:\voltium\web\src\app\api\admin\vehicles\route.ts
present,PUT,/api/admin/vehicles,/api/admin/vehicles,D:\voltium\web\src\app\api\admin\vehicles\route.ts
present,DELETE,/api/admin/vehicles,/api/admin/vehicles,D:\voltium\web\src\app\api\admin\vehicles\route.ts
